,created_at,text,favorite_count,retweet_count
38,2018-11-26 11:30:04,ABC060-B問題の解説です。整数を扱う基本的な問題です。整数の割り算の余りとか苦手な方はぜひ。 はてなブログに投稿しました #はてなブログ ABC060 B - Choice Integers：整数を扱う基本的な問題 - m… https://t.co/siSrLNocq4,0,0
39,2018-11-25 12:42:30,pyenvでごにょごにょ環境作ってたけどこれを機にcondaで管理した方が良さそうなのね、pyenvはあくまでもインストーラがわり https://t.co/0k3CmLP31W,0,0
40,2018-11-25 12:39:30,githubのissueにもあったけどVSCodeのJupyter拡張、venvで作った環境だとうまく動作しないっぽい？conda環境だと一発いけた,1,0
41,2018-11-25 10:56:44,せっかく最近Atomいいかんじやったのに,0,0
42,2018-11-25 10:52:01,Atom=Latexエディタみたいになってしまう,0,0
43,2018-11-25 10:51:06,AtomのHydrogenとVSCodeのJupyter拡張を比べてみた感じVSCodeのサクサク感が素晴らしくてせっかくPythonはVSCodeで書こうかな。AtomでJavaScriptは割と書きやすくてHydrogen使え… https://t.co/PeHcj1SqIH,1,0
44,2018-11-24 13:16:32,第5回 ドワンゴからの挑戦状 2時間00分 AC: A WA: B問題歯が立たず #AtCoder,1,0
45,2018-11-24 06:10:00,変数の値がオーバーフローした時ってその分メモリ領域って侵食されるんですか,1,0
46,2018-11-23 18:32:03,Atomでのコーディングに飽きてきた方へ。気分転換にテーマを変えてみてはいかがでしょうか。 https://t.co/tLMKrciyTs,0,0
47,2018-11-23 18:22:26,重くなりそうなのでこれにはしないけども,0,0
48,2018-11-23 18:21:40,latexの設定ついでにAtomのテーマ調べてたら自分の現在地と陽の位置に基づいてテーマが変わる拡張があった https://t.co/i9x5VebDbR,1,0
49,2018-11-23 17:05:50,リアルタイムではないけど初めて400点問題の解説を理解して通せた。,0,0
50,2018-11-23 13:47:54,２ヶ月ぶりくらいにコンテストに出た。最近ちまちまAB埋めをしていたので、ちゃんとB問題が解けたのは嬉しかった。しかしC問題に関しては皆無だった。,0,0
51,2018-11-23 13:46:31,DDCC2019 予選 1時間30分 AC: A B WA: C問題は全くわからず #AtCoder,0,0
52,2018-11-22 14:06:43,美味しい話はなかなか無いんだな。地道にやっていく。 https://t.co/9JeLvCXpbX,3,1
53,2018-11-22 09:50:14,WebページでのJavaScriptの非同期実行に関して書きました。初歩的な内容ですが、よろしければご覧ください。 JavaScript：同期 / 非同期な読み込みの注意点 - スクリプトの依存関係 - mathnukoの雑記帳… https://t.co/RZqlFXkEvn,0,0
54,2018-11-19 15:31:29,恥ずかしながら今shebang(シバン)の意味を知った。Pythonとかをシェルスクリプトとして実行するときのインタプリタの指定だったのか。ターミナルから ’python https://t.co/cHETOJ1ire’ を実行す… https://t.co/lD0Hi8YtUl,1,0
55,2018-11-15 22:21:16,だれかAtomのターミナル横に移動する方法知りませんかね。縦2分割的な,1,0
56,2018-11-15 13:58:02,JavaScript(ES5以前？) ・コンストラクタのprototypeを設定時 Constructor.prototype = obj1; obj2 = new Constructor(); obj2.obj1_method;… https://t.co/y96JDcta50,0,0
57,2018-11-15 00:10:02,今日家帰ってきたらクラスの設計の勉強する。,0,0
58,2018-11-14 23:49:49,Scrapbox意外とよさげ。記法の幅と内部リンク(TOC)使いにくい点が気になるけどもちょっとしたことまとめるのに良さそう。重めのやつはWikiにながす。文書をMarkdown出力してくれる機能が追加されたら本格的に使いたい。,0,0
59,2018-11-14 23:40:31,from Python(2018/11/15 08:40) 私は会社に行きたくないです,0,0
60,2018-11-14 23:40:24,from Python(2018/11/15 08:40) にゃーん,0,0
61,2018-11-14 23:36:58,from Python(2018/11/15 08:36) 真面目に生きなさい,1,0
62,2018-11-14 23:36:52,from Python(2018/11/15 08:36) にゃーん,0,0
63,2018-11-14 23:34:54,from Python(2018/11/15 08:34) 真面目に生きなさい,0,0
64,2018-11-14 00:10:51,個人用Wiki始めた。これ何だっけって調べるやつだいたいいつも同じようなところだから2度調べを減らしていきたい。,0,0
65,2018-11-12 22:26:47,このエディター使いやすかった！https://t.co/kbfhFR4SaV,0,0
